warehouse_number,sap_code,oracle_code,condition,description,part_number,tag_number,MANUFATURE_CO,unit_of_measure,category
10,2200015503,0135356897010490,NEW,Reduction Gearing For Auma Am 01.1 Com N,,,,PC,ZSPR
10,2200015504,0137376011110100,NEW,Telephone/Intercom Cable,,,,M,ZSPR
10,2200004289,0150506804020690,NEW,صب حامل صمام Cast Steel,,,,PC,ZSPR
10,2200062634,0150506810010050,NEW,Complete On/Off Valve Iden.To:Xv-5 (2),,,,PC,ZSPR
10,2200062635,0150506810010060,NEW,Complete On/Off Valve Iden.To:Xv-5 (1),,,,PC,ZSPR
10,2200062752,0190008000100010,NEW,Complete Lined Butterfly Valve Dn2 (2),,,,PC,ZSPR
10,2200062753,0190008000100020,NEW,Complete Sleeved Plug Valve Dn80 / (3),,,,PC,ZSPR
10,2200062754,0190008000100030,NEW,Complete Valve Diaphragm Dn50 / Ty (3),,,,PC,ZSPR
10,2200062755,0190008000100040,NEW,Complete Valve Diaphragm Dn50 / Ty (2),,,,PC,ZSPR
10,2200062756,0190008000100060,NEW,Complete Sleeved Plug Valve Dn80 / (2),,,,PC,ZSPR
10,2200062757,0190008000100070,NEW,Complete Sleeved Plug Valve Dn80 / (1),,,,PC,ZSPR
10,2200062758,0190008000100080,NEW,Complete Valve Diaphragm Dn50 / Ty (1),,,,PC,ZSPR
10,2200062759,0190008000100090,NEW,Complete Lined Butterfly Valve Dn1 (4),,,,PC,ZSPR
10,2200062760,0190008000100100,NEW,Complete Lined Butterfly Valve Dn1 (3),,,,PC,ZSPR
10,2200062761,0190008000100110,NEW,Complete Lined Butterfly Valve Dn1 (2),,,,PC,ZSPR
10,2200062762,0190008000100120,NEW,Complete Valve Diaphragm Dn40 / Ty (2),,,,PC,ZSPR
10,2200062763,0190008000100130,NEW,Complete Valve Diaphragm Dn40 / Ty (1),,,,PC,ZSPR
10,2200062764,0190008000100140,NEW,Complete Lined Butterfly Valve Dn1 (1),,,,PC,ZSPR
10,2200062765,0190008000100150,NEW,Complete Lined Butterfly Valve Dn8 (2),,,,PC,ZSPR
10,2200062766,0190008000100160,NEW,Complete Lined Butterfly Valve Dn8 (1),,,,PC,ZSPR
10,2200062767,0190008000100170,NEW,Complete Lined Butterfly Valve Dn2 (1),,,,PC,ZSPR
10,2200062768,0190008000100180,NEW,Recommended Body Spare Kit For Item 1,,,,PAC,ZSPR
10,2200062769,0190008000100190,NEW,Recommended Body Spare Kit For Item 2,,,,PAC,ZSPR
10,2200062770,0190008000100200,NEW,Recommended Body Spare Kit For Item 3,,,,PAC,ZSPR
10,2200062771,0190008000100210,NEW,Recommended Body Spare Kit For Item 5,,,,PAC,ZSPR
10,2200062772,0190008000100220,NEW,Recommended Body Spare Kit For Item 6,,,,PAC,ZSPR
10,2200062699,0190008000100230,NEW,Recommended Body Spare Kit For Item 8,,,,PAC,ZSPR
10,2200062700,0190008000100240,NEW,Recommended Body Spare Kit For Item 10,,,,PAC,ZSPR
10,2200062701,0190008000100250,NEW,Recommended Body Spare Kit For Item 11,,,,PAC,ZSPR
10,2200062702,0190008000100260,NEW,Recommended Body Spare Kit For Item 14,,,,PAC,ZSPR
10,2200062703,0190008000100270,NEW,Recommended Actuator Kit For Item (12),,,,PAC,ZSPR
10,2200062704,0190008000100280,NEW,Recommended Actuator Kit For Item (11),,,,PAC,ZSPR
10,2200062705,0190008000100290,NEW,Recommended Actuator Kit For Item (10),,,,PAC,ZSPR
10,2200062706,0190008000100300,NEW,Recommended Actuator Kit For Item (9),,,,PAC,ZSPR
10,2200062707,0190008000100310,NEW,Recommended Actuator Kit For Item (8),,,,PAC,ZSPR
10,2200062708,0190008000100320,NEW,Recommended Actuator Kit For Item (7),,,,PAC,ZSPR
10,2200062709,0190008000100330,NEW,Recommended Actuator Kit For Item (6),,,,PAC,ZSPR
10,2200062710,0190008000100340,NEW,Recommended Actuator Kit For Item (5),,,,PAC,ZSPR
10,2200062711,0190008000100350,NEW,Recommended Actuator Kit For Item (4),,,,PAC,ZSPR
10,2200062712,0190008000100360,NEW,Recommended Actuator Kit For Item (3),,,,PAC,ZSPR
10,2200062713,0190008000100370,NEW,Recommended Actuator Kit For Item (2),,,,PAC,ZSPR
10,2200062714,0190008000100380,NEW,Recommended Actuator Kit For Item (1),,,,PAC,ZSPR
10,2200004290,0190216804020010,NEW,Packing Kits Eu03450829,,,,PC,ZSPR
10,2200004291,0190216804020020,NEW,Actuator Kits Eu03450829,,,,PC,ZSPR
10,2200004292,0190216804020030,NEW,Gasket Kits,,,,PC,ZSPR
10,2200004293,0190216804020040,NEW,Plug & Stem,,,,PC,ZSPR
10,2200004294,0190216804020050,NEW,Seat (2),,,,PC,ZSPR
10,2200004295,0190216804020060,NEW,Packing Kits Eu03450830,,,,PC,ZSPR
10,2200004296,0190216804020070,NEW,Actuator Kits Eu03450830,,,,PC,ZSPR
10,2200004297,0190216804020080,NEW,Gasket Kits Eu03450830,,,,PC,ZSPR
10,2200004298,0190216804020090,NEW,Plug &Stem Eu03450830,,,,PC,ZSPR
10,2200004299,0190216804020100,NEW,Seat Eu03450830,,,,PC,ZSPR
10,2200004300,0190216804020110,NEW,Packing Kits Eu03450831,,,,PC,ZSPR
10,2200004301,0190216804020120,NEW,Actuator Kits Eu03450831,,,,PC,ZSPR
10,2200004302,0190216804020130,NEW,Gasket Kits Eu03450831,,,,PC,ZSPR
10,2200004303,0190216804020140,NEW,Plug &Stem Eu03450831,,,,PC,ZSPR
10,2200004304,0190216804020150,NEW,Seat Eu03450831,,,,PC,ZSPR
10,2200004305,0190216804020160,NEW,Packing Kits Eu03450832,,,,PC,ZSPR
10,2200004306,0190216804020170,NEW,Actuator Kits Eu03450832,,,,PC,ZSPR
10,2200004307,0190216804020180,NEW,Gasket Kits Eu03450832,,,,PC,ZSPR
10,2200004308,0190216804020190,NEW,Plug &Stem Eu03450832,,,,PC,ZSPR
10,2200004309,0190216804020200,NEW,Seat Eu03450832,,,,PC,ZSPR
10,2200004310,0190216804020210,NEW,Packing Kits Vcg209798/1,,,,PC,ZSPR
10,2200004311,0190216804020220,NEW,Actuator Kits Vcg209798/1,,,,PC,ZSPR
10,2200004312,0190216804020230,NEW,Gasket Kits Vcg209798/1,,,,PC,ZSPR
10,2200004313,0190216804020240,NEW,Plug &Stem Vcg209798/1,,,,PC,ZSPR
10,2200004314,0190216804020250,NEW,Sest Vcg209798/1,,,,PC,ZSPR
10,2200004315,0190216804020260,NEW,Packing Kits Eu03450833,,,,PC,ZSPR
10,2200004316,0190216804020270,NEW,Actustor Kits Eu03450833,,,,PC,ZSPR
10,2200004317,0190216804020280,NEW,Gasket Kits Eu03450833,,,,PC,ZSPR
10,2200004318,0190216804020290,NEW,Plug &Stem Eu03450833,,,,PC,ZSPR
10,2200004319,0190216804020300,NEW,Seat Eu03450833,,,,PC,ZSPR
10,2200004320,0190216804020310,NEW,Packing Kits Eu03450834,,,,PC,ZSPR
10,2200004321,0190216804020320,NEW,Actuator Kits Eu03450834,,,,PC,ZSPR
10,2200004322,0190216804020330,NEW,Gasket Kits Eu03450834,,,,PC,ZSPR
10,2200004323,0190216804020340,NEW,Plug &Stem Eu03450834,,,,PC,ZSPR
10,2200004324,0190216804020350,NEW,Seat Eu03450834,,,,PC,ZSPR
10,2200004325,0190216804020360,NEW,Packing &Stem Eu03450835,,,,PC,ZSPR
10,2200004326,0190216804020370,NEW,Actuator Kits Eu03450835,,,,PC,ZSPR
10,2200004327,0190216804020380,NEW,Gasket Kits Eu03450835,,,,PC,ZSPR
10,2200004328,0190216804020390,NEW,Plug &Stem Eu03450835,,,,PC,ZSPR
10,2200004329,0190216804020400,NEW,Seat Eu03450835,,,,PC,ZSPR
10,2200061377,0190216804020410,NEW,complete piston actuator identical to SN,,,,PC,ZSPR
10,2200061378,0190216804020420,NEW,complete spare kit for item 1,,,,PAC,ZSPR
10,2200004330,0190326805020010,NEW,O-Ring Ident.No . 073255/0104,,,,PC,ZSPR
10,2200004331,0190326805020020,NEW,O-Ring (31),,,,PC,ZSPR
10,2200004332,0190326805020030,NEW,Plunger Rod,,,,PC,ZSPR
10,2200004333,0190326805020040,NEW,O-Ring (32),,,,PC,ZSPR
10,2200004334,0190326805020050,NEW,Gasket Ident No.070622/0062,,,,PC,ZSPR
10,2200004233,0190326805020060,NEW,Grve.Ball Bearing,,,,PC,ZSPR
10,2200004234,0190326805020070,NEW,Circel Ip,,,,PC,ZSPR
10,2200004235,0190326805020080,NEW,O-Ring (33),,,,PC,ZSPR
10,2200004236,0190326805020090,NEW,Kit Repair,,,,PC,ZSPR
10,2200004237,0190326805020100,NEW,Washer (3),,,,PC,ZSPR
10,2200004238,0190326805020110,NEW,Sealring,,,,PC,ZSPR
10,2200004239,0190326805020120,NEW,O-Ring (34),,,,PC,ZSPR
10,2200004240,0190326805020130,NEW,Check Valve (2),,,,PC,ZSPR
10,2200004241,0190326805020140,NEW,Saelring,,,,PC,ZSPR
10,2200004242,0190326805020150,NEW,Sealing,,,,PC,ZSPR
10,2200004243,0190326805020160,NEW,Seal Ring (4),,,,PC,ZSPR
10,2200004244,0190326805020170,NEW,O-Ring (35),,,,PC,ZSPR
10,2200004245,0190326805020180,NEW,Seal Ring (3),,,,PC,ZSPR
10,2200004246,0190326805020190,NEW,O-Ring (36),,,,PC,ZSPR
10,2200004247,0190326805020200,NEW,026778 0157 Bushing Phv 20130,,,,PC,ZSPR
10,2200004248,0190326805020220,NEW,Oring 83x3,,,,PC,ZSPR
10,2200004249,0190326805020240,NEW,Gasket Phv.L 050830.0070,,,,PC,ZSPR
10,2200004250,0190326805020250,NEW,Seal Ring A10x14x1,,,,PC,ZSPR
10,2200004251,0190326805020260,NEW,O-Ring 13.95x2.62,,,,PC,ZSPR
10,2200004252,0190326805020270,NEW,Seal Ring A20x24x1.5,,,,PC,ZSPR
10,2200004253,0190326805020280,NEW,Seal Ring A7.6x11x1,,,,PC,ZSPR
10,2200004254,0190326805020290,NEW,O-Ring 3.68x1.78,,,,PC,ZSPR
10,2200004255,0190326805020300,NEW,Seal Ring A14x18x1.5,,,,PC,ZSPR
10,2200004256,0190326810020010,NEW,Sealing Element Nbr Item:4 For:Wf32/811+,,,,PC,ZSPR
10,2200004257,0190326810020159,NEW,Compelete Valve With Double Piston,,,,PC,ZSPR
10,2200004258,0190326810020179,NEW,Bush Indent,,,,PC,ZSPR
10,2200004259,0190326810020180,NEW,Pneumatic Cut Off For Fqg616 Fqg 62,,,,PC,ZSPR
10,2200004260,0190326810020190,NEW,Seal Kit For Pneumatic Cut Off Unit 32,,,,PC,ZSPR
10,2200004261,0190326810020210,NEW,Wiper Seal For Rotex,,,,PC,ZSPR
10,2200004262,0190331004000067,NEW,Gaskets Item 15,,,,PC,ZSPR
10,2200004263,0190331004000086,NEW,Rubberdaphroms For Honeywell,,,,PC,ZSPR
10,2200004264,0190331004000095,NEW,Rondiaphrajms,,,,PC,ZSPR
10,2200004265,0190331004000100,NEW,Compl.Pn.Actuator For Ejector 33-1004,,,,PC,ZSPR
10,2200004266,0190331004000110,NEW,Kit:Diaphragm&Stemsealing-Wearableparts,,,,PAC,ZSPR
10,2200004267,0190331009000034,NEW,Spare Part Forhv-33201plug- Seat Vst,,,,PAC,ZSPR
10,2200004268,0190331009000049,NEW,Spare Part Forlv-33205plug- Seat Vst,,,,PAC,ZSPR
10,2200004269,0190331009000053,NEW,Spare Part Forfv-33201plug- Seat Vst,,,,PAC,ZSPR
10,2200004270,0190331009000068,NEW,Plug 521706015 Seat 501064069bux817k0127,,,,PAC,ZSPR
10,2200004271,0190331009000087,NEW,Spare Part Forhv-33403plug- Seat Vst,,,,PAC,ZSPR
10,2200004272,0190331009000096,NEW,Spare Part Forlv-33802plug- Seat Vst,,,,PAC,ZSPR
10,2200004273,0190331009000109,NEW,Spare Part Forlv-33803plug- Seat Vst,,,,PAC,ZSPR
10,2200004274,0190331009000151,NEW,Stuffing Box Type Busg 412800013,,,,PC,ZSPR
10,2200004275,0190336080110015,NEW,Cone Seal Q 29x3 Teflon,,,,PC,ZSPR
10,2200004276,0190336080110020,NEW,Oring 01410v 70,,,,PC,ZSPR
10,2200004277,0190336080110034,NEW,Oring 12410v70,,,,PC,ZSPR
10,2200004278,0190336800030010,NEW,Plugkvs1600material14541042056hv33401,,,,PC,ZSPR
10,2200004279,0190336800030024,NEW,Sleeveptfe 515406 (1),515406,HV-33401,,PC,ZSPR
10,2200004280,0190336800030039,NEW,Sealing Partcompl 700500,700500,HV-33401,,PC,ZSPR
10,2200004281,0190336800030062,NEW,Plug Material14571 562405 Hv33402,25-DN42-64SITZQ000,HV-33402,,PC,ZSPR
10,2200004282,0190336800030077,NEW,Sleeveptfe 515406 (2),515406,HV-33402,,PC,ZSPR
10,2200004283,0190336800030081,NEW,Sealing Part Compl 700500,25-DN44-64SITZQ000,HV-33402,,PC,ZSPR
10,2200004182,0190336800030091,NEW,Oring Bunan106317,106317,HV-33402,,PC,ZSPR
10,2200004183,0190336800030130,NEW,"Complete Control Valve,Type: Tv-82304",25-DN41-64SITZQ000,TV-82304,,PC,ZSPR
10,2200004184,0190336800040022,NEW,Maleadaptor1p825201012,825201012,LV-33201,,PC,ZSPR
10,2200004185,0190336800040037,NEW,Packingsip825301012,825301012,LV-33201,,PC,ZSPR
10,2200004186,0190336800040041,NEW,Femaleadaptor 1p825401192,825401192,LV-33201,,PC,ZSPR
10,2200004187,0190336800040061,NEW,Key 1l479138992,479138992,LV-33201,,PC,ZSPR
10,2200004188,0190336800040075,NEW,Oring 1n285606382,285606382,LV-33201,,PC,ZSPR
10,2200004189,0190336800040080,NEW,Guide Post Bushing 1p871947812,25-DN46-64SITZQ000,LV-33201,,PC,ZSPR
10,2200004190,0190336800040099,NEW,Orimg1n285406382,285406382,LV-33201,,PC,ZSPR
10,2200004191,0190336800040121,NEW,Oring 1n285806282,285806282,LV-33201,,PC,ZSPR
10,2200004192,0190336800040135,NEW,Key Hi-Pro,HI,LV-33201,,PC,ZSPR
10,2200004193,0190336800040140,NEW,Diaphragm Bunan2e670002202,670002202,LV-33201,,PC,ZSPR
10,2200004194,0190336800040154,NEW,Diaphragmassembly1f9646000a2,2,LV-33201,,PC,ZSPR
10,2200004195,0190336800040169,NEW,Restriction 1f96553502,96553502,LV-33201,,PC,ZSPR
10,2200004196,0190336800040173,NEW,Oring 1d134606992,134606992,LV-33201,,PC,ZSPR
10,2200004197,0190336800040188,NEW,Oring 1f463606992,463606992,LV-33201,,PC,ZSPR
10,2200004198,0190336800040197,NEW,Gasket 1g969104042,969104042,LV-33201,,PC,ZSPR
10,2200004199,0190336800040214,NEW,Scal Typ 8869,8869,LV-33201,,PC,ZSPR
10,2200004200,0190336800040229,NEW,Cover Gasket Typ 8092,25-DN41-64SITZQ000,LV-33201,,PC,ZSPR
10,2200004201,0190336800040233,NEW,Nole 9846,9846,LV-33201,,PC,ZSPR
10,2200004202,0190336800040252,NEW,Thrust Washer (2),THRUST,LV-33201,,PC,ZSPR
10,2200004203,0190336800040267,NEW,Washer (2),,LV-33201,,PC,ZSPR
10,2200004204,0190336800040310,NEW,O-Ring (37),O,,,PC,ZSPR
10,2200004205,0190336800040320,NEW,O-Ring (38),O,,,PC,ZSPR
10,2200004206,0190336800040330,NEW,Complate Body Spare Kit,25-DN41-64SITZQ000,,,PC,ZSPR
10,2200004207,0190336800040340,NEW,Complate Actuater Spare Kit,25-DN41-64SITZQ000,,,PC,ZSPR
10,2200004208,0190336800040350,NEW,Compelete Replacement Actuator With Hand,WITH,,,PAC,ZSPR
10,2200004209,0190336800040360,NEW,Oring 3 Mm* 89 Mm,89,,,PC,ZSPR
10,2200004210,0190336800040370,NEW,اويل سيل بسوسته مقاس 89.6*2.95*2.56,22,,,PC,ZSPR
10,2200004211,0190336800990290,NEW,Comp Valve For Lv-33201,,,,PC,ZSPR
10,2200004212,0190336810020010,NEW,Seat And Typ 1065 Dn2564 Okv157,,,,PC,ZSPR
10,2200004213,0190336810020024,NEW,Seat And Plug Typ 1030 Dnpn 80160kv 6570,6570,TV-33216,,PC,ZSPR
10,2200004214,0190336810020058,NEW,Seat And Plug1 Typ1030 Dnpn150160kv 1252,1252,TV-33403,,PC,ZSPR
10,2200004215,0190336810020062,NEW,Seat And Plug1 Typ1021 Dnpn25010 0kv2506,2506,PV-33204,,PC,ZSPR
10,2200004216,0190336810020091,NEW,Packing Typ 1021dn100ap 012,25-DN412-64SITZQ100,HV-33801,,PC,ZSPR
10,2200004217,0190336810020103,NEW,Packing Typ 10301021150 Bis300 Twa 016,016,HV-33801,,PC,ZSPR
10,2200004218,0190336810020122,NEW,Diaphragm Order No 911612835 P 300,300,HV-33801,,PC,ZSPR
10,2200004219,0190336810020137,NEW,Diaphragm Order No 9116 12839 P450,450,HV-33122,,PC,ZSPR
10,2200004220,0190336810020141,NEW,Gaskets For Valve Body Type 1030 Dn80 Pn,80,FV-33216,,PC,ZSPR
10,2200004221,0190336810020156,NEW,Gaskets For Valve Bady Type1021 Dn100pn4,4,HV-33801,,PC,ZSPR
10,2200004222,0190336810020161,NEW,Gaskets For Valve Body Type 10211030dn 1,1,TV-33403 / PV-33204,,PC,ZSPR
10,2200004223,0190336810020201,NEW,Diphram (2),,TV-33403 / PV-33204,,PC,ZSPR
10,2200004224,0190336810020216,NEW,Hoses Pos 48,48,TV-33403 / PV-33204,,PC,ZSPR
10,2200004225,0190336810020235,NEW,Diaphram,,TV-33403 / PV-33204,,PC,ZSPR
10,2200004226,0190336810020269,NEW,Seat For Xv 33808,25-DN42-64SITZQ100,XV-33808,,PC,ZSPR
10,2200004227,0190336810021019,NEW,سوسته صلب بيانو,SOLID,XV-33808,,PC,ZSPR
10,2200004228,0190336810021038,NEW,Stem Gulde,STEM,HV-33801,,PC,ZSPR
10,2200004229,0190336810021042,NEW,Packing Ring 1set6pcs Gulde,25-DN45-64SITZQ100,HV-33801,,PAC,ZSPR
10,2200004230,0190336810070018,NEW,Valve Seatitem2of Mat14401set11ted3913,,,,PC,ZSPR
10,2200004231,0190336810070022,NEW,Oring Item4 Mat Crhylemeproppropyene31,25-DN418-64SITZQ100,TV-33808,,PC,ZSPR
10,2200004232,0190336810070037,NEW,Oringitem5of Mat Ethylenepropylene190x3,3,TV-33808,,PC,ZSPR
10,2200004131,0190336810070041,NEW,Valve Coneitem6of Mat 11181 With Akrimet,11181,TV-33808,,PC,ZSPR
10,2200004132,0190336810070061,NEW,Guiding Bushitem10of Matgg30 Sk 1030801,1030801,TV-33808,,PC,ZSPR
10,2200004133,0190336810070075,NEW,Base Ringitem11 Of Matgg30 Nb 439616,439616,TV-33808,,PC,ZSPR
10,2200004134,0190336810070080,NEW,Complete Set Packing Ringsitem12 1set10r,10,TV-33808,,PC,ZSPR
10,2200004135,0190336810070135,NEW,Guide Buahitem10of Matggg42 Sk1202201,25-DN42-64SITZQ100,PV-33005,,PC,ZSPR
10,2200004136,0190336810070140,NEW,Base Ringitem11of Matgg30sk902001 (2),902001,PV-33005,,PC,ZSPR
10,2200004137,0190336810070169,NEW,Stuffingboxitem15of Mat15053 Sk 902101,25-DN41-64SITZQ100,PV-33005,,PC,ZSPR
10,2200004138,0190336810070188,NEW,Valve Coneitem6ofmat11181 With Akritmeta,25-DN40-64SITZQ100,PV-33804 / PV-33805,,PC,ZSPR
10,2200004139,0190336810070197,NEW,Seat For Pv33805,33805,PV-33804 / PV-33805,,PC,ZSPR
10,2200004140,0190336810070200,NEW,Guiding Bushitem10of Matgg30 Sk1030801,25-DN43-64SITZQ100,PV-33804 / PV-33805,,PC,ZSPR
10,2200004141,0190336810070214,NEW,Base Ring Item11of Matgg30 Nb439616,439616,PV-33804 / PV-33805,,PC,ZSPR
10,2200004142,0190336810070233,NEW,Stuffing Boxitem15of Mat11181nb 249116,25-DN46-64SITZQ100,PV-33804 / PV-33805,,PC,ZSPR
10,2200004143,0190336810070271,NEW,Guiding Bushitem10of Matggg42 Sk1202201,25-DN43-64SITZQ100,TV-33001 / TV-33002,,PC,ZSPR
10,2200004144,0190336810070286,NEW,Base Ringitem11of Mat Gg 30 Sk 902001,902001,TV-33001 / TV-33002,,PC,ZSPR
10,2200004145,0190336810070308,NEW,Stuffing Boxitem15of Mat 15053 Sk 902101,902101,TV-33001 / TV-33002,,PC,ZSPR
10,2200004146,0190336810070327,NEW,Valve Stem Complete Item6789,25-DN40-64SITZQ100,FV-33122,,PC,ZSPR
10,2200004147,0190336810070346,NEW,Guiding Bushitem10of Matggg42sk1303405,1303405,FV-33122,,PC,ZSPR
10,2200004148,0190336810070351,NEW,Baseringitem11 Of Matgg 30 Sk 902001 (2),902001,FV-33122,,PC,ZSPR
10,2200004149,0190336810070370,NEW,Stuffingboxitem15ofmat15053sk902101,902101,FV-33122,,PC,ZSPR
10,2200004150,0190336810070393,NEW,Oring Item4ofmatethulemepropylene 860x5,5,LV-33005,,PC,ZSPR
10,2200004151,0190336810070406,NEW,Oringitem5ofmatethylenepropylene820x4,4,LV-33005,,PC,ZSPR
10,2200004152,0190336810070459,NEW,O-Ring Item 4,4,HV-33003,,PC,ZSPR
10,2200004153,0190336810070463,NEW,Valve Stem Item7of Mat145932362901,25-DN41-64SITZQ100,HV-33003,,PC,ZSPR
10,2200004154,0190336810070491,NEW,Stuffing Boxitem15ofmat14435 Sk 90 (1),25-DN41-64SITZQ100,HV-33003,,PC,ZSPR
10,2200004155,0190336810070505,NEW,Oringitem4of Ethyleneproplene 1100x5 Hv3,25-DN410-64SITZQ100,HV-33001,,PC,ZSPR
10,2200004156,0190336810070524,NEW,Base Ringitem11ofmat914435 Sk 881401 (2),25-DN43-64SITZQ100,HV-33001,,PC,ZSPR
10,2200004157,0190336810070543,NEW,Stuffingboxitem15ofmat14435 Sk 881501,881501,HV-33001,,PC,ZSPR
10,2200004158,0190336810070558,NEW,Oringietm4ofethyleneproplene1480x5 Hv33,33,HV-33002,,PC,ZSPR
10,2200004159,0190336810070560,NEW,Valve System 33002-Tag No Hv,33002,HV-33002,,PAC,ZSPR
10,2200004160,0190336810070577,NEW,Base Ringitem11ofmat14435 Sk881401 (1),881401,HV-33002,,PC,ZSPR
10,2200004161,0190336810070581,NEW,Complete Set Packingringsitem121set10rin,10,HV-33002,,PC,ZSPR
10,2200004162,0190336810070591,NEW,Stuffing Boxitem15of Mat 14435 Sk 881501,881501,HV-33002,,PC,ZSPR
10,2200004163,0190336810070617,NEW,Stuffing Boxitem3 Ofmat14057 Sk 474901,474901,HV-33003,,PC,ZSPR
10,2200004164,0190336810070621,NEW,Complete Set Packing Ringsitem71set2tefl,25-DN441-64SITZQ100,HV-33003,,PC,ZSPR
10,2200004165,0190336810070636,NEW,Washer Item10 Of Mat 14435 Sk 4755001,4755001,HV-33003,,PC,ZSPR
10,2200004166,0190336810070641,NEW,Valve Seatitem2of Mat14435 Sk 1010103,1010103,HV-33004,,PC,ZSPR
10,2200004167,0190336810070655,NEW,Oring Item4 Of Ethylemepropyleme 670x4,4,HV-33004,,PC,ZSPR
10,2200004168,0190336810070660,NEW,Oring Item5 Of Mat Ethylaneprapylene 630,630,HV-33004,,PC,ZSPR
10,2200004169,0190336810070674,NEW,Valve Stem Item7of Mat145933419301,25-DN40-64SITZQ100,HV-33004,,PC,ZSPR
10,2200004170,0190336810070689,NEW,Base Ring Item11ofmat14435 Sk 9020 01,01,HV-33004,,PC,ZSPR
10,2200004171,0190336810070701,NEW,Stuffingboxitem15ofmat14435 Sk 902101,902101,HV-33004,,PC,ZSPR
10,2200004172,0190336810070720,NEW,Oringitem4ofethylenepropylene460x3,3,HV-33005,,PC,ZSPR
10,2200004173,0190336810070734,NEW,Oringitem5ofethylenepropylene390x3,3,HV-33005,,PC,ZSPR
10,2200004174,0190336810070753,NEW,Base Ringitem11of Mat 14435 Sk902001,902001,HV-33005,,PC,ZSPR
10,2200004175,0190336810070768,NEW,Complete Set Paccking Ringsitem121set10r,25-DN43-64SITZQ100,HV-33005,,PC,ZSPR
10,2200004176,0190336810070772,NEW,Stuffing Boxitem15ofmat14435 Sk 90 (2),25-DN44-64SITZQ100,HV-33005,,PC,ZSPR
10,2200004177,0190336810070809,NEW,Ex Nut M 16 Fv 33l22,22,FV-33122,,PC,ZSPR
10,2200004178,0190336810070813,NEW,Softy Plat Of Mset 4330,4330,FV-33122,,PC,ZSPR
10,2200004179,0190336810070870,NEW,Pneuactuator 800-13 Slo 381x533x70 Compl,70,,,PC,ZSPR
10,2200004180,0190336810070880,NEW,Valve Reaat Po5tion Py,25-DN41-64SITZQ100,HV-33001,,PC,ZSPR
10,2200004181,0190336810070890,NEW,Seat Par Value Pr54001,25-DN41-64SITZQ100,HV-33001,,PC,ZSPR
10,2200004080,0190336810070900,NEW,Con For Actustor Eck,25-DN46-64SITZQ100,HV-33005,,PC,ZSPR
10,2200004081,0190336810070910,NEW,Spindle For Hv 56001,25-DN41-64SITZQ100,HV-33002,,PC,ZSPR
10,2200004082,0190336810070920,NEW,Volve Seat Pv 33804 Pv 33805,33805,,,PC,ZSPR
10,2200004083,0190336810070930,NEW,Complete Control Valve (Replacement Fv-3,3,HV-33003,,PC,ZSPR
10,2200015866,0190336810070939,NEW,Compelete Valve,COMPELETE,,,PC,ZSPR
10,2200004084,0190336810070964,NEW,Valve Stem Complete(Stem&Cone&Hex Nu (1),25-DN41-64SITZQ100,FV-33122,,PAC,ZSPR
10,2200065914,0190336810071089,NEW,PACKING TYPE6250 SIZE 6MM,25-DN40-64SITZQ100,LV-33005,,PC,ZSPR
10,2200065915,0190336810071098,NEW,PACKING TYPE6250 SIZE 8MM,25-DN40-64SITZQ100,LV-33005,,PC,ZSPR
10,2200004085,0190336810090020,NEW,Seat Ring Lv-33205,33205,LV-33205,,PC,ZSPR
10,2200004086,0190336810090034,NEW,Plug Lv-33205,33205,LV-33205,,PC,ZSPR
10,2200004087,0190336810090049,NEW,Valve Stem Lv-33205,33205,LV-33205,,PC,ZSPR
10,2200004088,0190336810090210,NEW,Complete Control Valve With Actuator (2),WITH,,,PC,ZSPR
10,2200004089,0190336810090220,NEW,Complete Piston Actuator Pn716101b,25-DN42-64SITZQ100,,,PC,ZSPR
10,2200004090,0190336810090230,NEW,Complete Sealing Kit For Actuator (1),For,,,PC,ZSPR
10,2200004091,0190336810090240,NEW,Complete Soft Sealing Kit For Valvebody,For,,,PAC,ZSPR
10,2200004092,0190336810090250,NEW,Ptfe Sleeve Taped For For Valve Bdy,Valve,,,PC,ZSPR
10,2200004093,0190336810090260,NEW,Completesoftsealing Kitvalvesn:L12055529,12055529,,,PC,ZSPR
10,2200004094,0190336810090270,NEW,Ptfe Sleeve Taped For Valve Body,Valve,,,PC,ZSPR
10,2200004095,0190336820060013,NEW,Complvalve Stem Ma4 24709,,,,PC,ZSPR
10,2200004096,0190336820060028,NEW,Valve Seat Pv33808,33808,PV-33808,,PC,ZSPR
10,2200004097,0190336820060032,NEW,Lower Guide Bush (2),GUIDE,PV-33808,,PC,ZSPR
10,2200004098,0190336820060047,NEW,Packing (10),,PV-33808,,PC,ZSPR
10,2200004099,0190336820060051,NEW,Niasbestos Laminated Rings,LAMINATED,PV-33808,,PC,ZSPR
10,2200004100,0190336820060071,NEW,Complvalve Stem Pv33807,33807,PV-33807,,PC,ZSPR
10,2200004101,0190336820060085,NEW,Valve Seat (2),VALVE,PV-33807,,PC,ZSPR
10,2200004102,0190336820060107,NEW,Lower Guide Bush (1),GUIDE,PV-33807,,PC,ZSPR
10,2200004103,0190336820060111,NEW,Servomotor N25ge1,1,PV-33807,,PC,ZSPR
10,2200004104,0190336820060126,NEW,Picontroler Typekr2,2,PV-33807,,PC,ZSPR
10,2200004105,0190336820060131,NEW,Ttrelay,,PV-33807,,PC,ZSPR
